Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year
BMW,4200.0,sedan,277,2.0,Petrol,yes,1991
Mercedes-Benz,7900.0,van,427,2.9,Diesel,yes,1999
Mercedes-Benz,13300.0,sedan,358,5.0,Gas,yes,2003
Audi,23000.0,crossover,240,4.2,Petrol,yes,2007
Toyota,18300.0,crossover,120,2.0,Petrol,yes,2011
Audi,14200.0,vagon,200,2.7,Diesel,yes,2006
Renault,10799.0,vagon,193,1.5,Diesel,yes,2012
Volkswagen,1400.0,other,212,1.8,Gas,no,1999
Renault,11950.0,vagon,177,1.5,Diesel,yes,2011
Renault,2500.0,sedan,260,1.79,Petrol,yes,1994
Audi,9500.0,vagon,165,2.7,Gas,yes,2003
Volkswagen,10500.0,sedan,100,1.8,Petrol,yes,2008
Toyota,16000.0,crossover,250,4.7,Gas,yes,2001
Renault,8600.0,hatch,84,1.5,Diesel,yes,2012
BMW,2990.0,other,203,2.0,Petrol,no,2001
Toyota,26500.0,crossover,21,2.0,Petrol,yes,2013
Audi,3500.0,vagon,250,2.5,Diesel,no,1998
Toyota,38233.0,other,0,2.4,Diesel,yes,2016
Volkswagen,7500.0,hatch,132,1.4,Diesel,yes,2006
Audi,6800.0,sedan,225,2.4,Gas,yes,1998
Mitsubishi,10500.0,crossover,130,2.4,Gas,yes,2006
Audi,24900.0,sedan,163,4.2,Diesel,yes,2008
Volkswagen,20800.0,crossover,151,3.0,Diesel,yes,2008
Audi,6500.0,sedan,330,2.4,Petrol,yes,1999
Mercedes-Benz,13566.0,other,171,2.2,Other,no,2011
Mitsubishi,8500.0,hatch,65,1.3,Petrol,yes,2010
Audi,2900.0,sedan,1,2.3,Gas,yes,1989
BMW,21500.0,other,72,3.0,Petrol,yes,2007
Mitsubishi,17900.0,crossover,87,3.8,Gas,yes,2008
BMW,28500.0,crossover,160,4.8,Gas,yes,2008
Volkswagen,9800.0,van,160,1.9,Diesel,yes,2009
Toyota,14500.0,sedan,147,2.4,Gas,yes,2006
BMW,6000.0,sedan,300,2.8,Petrol,yes,1996
BMW,67500.0,crossover,1,2.5,Diesel,yes,2016
Audi,33900.0,other,14,1.8,Petrol,yes,2014
Mercedes-Benz,9800.0,van,230,2.15,Diesel,yes,2004
Mercedes-Benz,63000.0,crossover,86,5.5,Petrol,yes,2009
BMW,7700.0,sedan,326,2.8,Petrol,yes,1998
Mercedes-Benz,9600.0,van,30,2.2,Diesel,yes,2006
Toyota,12800.0,sedan,181,2.4,Petrol,yes,2008
BMW,41000.0,crossover,80,3.0,Petrol,yes,2012
BMW,3700.0,sedan,231,2.5,Petrol,yes,1990
Mercedes-Benz,29500.0,sedan,134,5.0,Petrol,yes,2008
BMW,6500.0,sedan,335,2.8,Petrol,yes,1996
Renault,8250.0,van,66,1.5,Diesel,yes,2014
Mercedes-Benz,19500.0,crossover,172,3.5,Other,yes,2008
Mercedes-Benz,13500.0,sedan,317,5.0,Petrol,yes,2001
Mercedes-Benz,9200.0,van,266,2.2,Diesel,yes,2008
Volkswagen,5000.0,vagon,265,2.0,Diesel,no,2006
BMW,23900.0,crossover,162,4.8,Petrol,yes,2007
BMW,36900.0,sedan,81,3.0,Diesel,yes,2010
BMW,8900.0,other,253,1.8,Petrol,yes,1995
Renault,7800.0,van,200,1.9,Diesel,yes,2002
BMW,1650.0,sedan,270,1.8,Petrol,no,1995
Mercedes-Benz,50000.0,sedan,240,3.5,Petrol,yes,2006
Renault,9700.0,van,245,2.0,Diesel,yes,2008
Mercedes-Benz,9999.0,van,127,2.2,Diesel,yes,2005
Audi,69999.0,crossover,21,3.0,Petrol,yes,2015
Mitsubishi,6500.0,sedan,152,1.6,Petrol,yes,2007
Audi,4300.0,sedan,267,1.9,Diesel,no,2003
Audi,3000.0,sedan,267,2.5,Diesel,no,1999
Mercedes-Benz,8700.0,sedan,240,2.2,Diesel,yes,2000
Renault,9000.0,vagon,178,2.0,Petrol,yes,2008
Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011
BMW,9000.0,sedan,175,3.0,Petrol,no,2006
Mercedes-Benz,13400.0,sedan,105,1.8,Petrol,yes,2006
Volkswagen,3700.0,sedan,195,1.9,Diesel,no,2001
Volkswagen,9850.0,van,126,2.0,Diesel,yes,2012
Audi,3700.0,hatch,420,2.0,Diesel,no,2004
Toyota,15700.0,crossover,195,4.0,Gas,yes,2003
Mercedes-Benz,24500.0,sedan,180,2.2,Diesel,yes,2012
Mitsubishi,7500.0,sedan,195,1.6,Gas,yes,2007
Volkswagen,11990.0,van,231,2.5,Diesel,yes,2002
Volkswagen,13708.5,hatch,51,1.4,Petrol,yes,2014
BMW,8200.0,sedan,287,2.5,Gas,yes,1999
Renault,6999.0,van,222,1.5,Diesel,yes,2009
Renault,6750.0,vagon,214,1.5,Diesel,yes,2004
Audi,18500.0,sedan,245,3.0,Diesel,yes,2006
Toyota,14299.0,sedan,83,2.0,Petrol,yes,2009
Mercedes-Benz,28500.0,crossover,210,3.2,Diesel,yes,2007
Mitsubishi,17000.0,crossover,89,3.8,Petrol,yes,2008
Mercedes-Benz,25700.0,crossover,130,4.7,Gas,yes,2008
Audi,2650.0,vagon,333,2.5,Diesel,no,2000
Mitsubishi,8500.0,sedan,116,1.5,Petrol,yes,2008
Mercedes-Benz,4000.0,sedan,405,2.0,Diesel,yes,1992
Renault,11000.0,other,131,1.5,Diesel,yes,2011
Mercedes-Benz,14500.0,sedan,138,2.0,Petrol,yes,2007
BMW,4099.0,sedan,50,2.5,Petrol,yes,1988
Volkswagen,31500.0,crossover,1,2.0,Petrol,yes,2014
Renault,4500.0,van,207,1.5,Diesel,yes,2003
Volkswagen,6700.0,other,207,1.9,Diesel,yes,2004
Mitsubishi,20800.0,crossover,31,2.4,Petrol,yes,2011
Mercedes-Benz,107999.0,crossover,0,2.98,Diesel,yes,2016
BMW,3500.0,sedan,334,2.0,Diesel,no,1999
Audi,39000.0,sedan,18,1.8,Other,yes,2015
Toyota,13500.0,crossover,150,4.7,Gas,yes,2002
Mitsubishi,6150.0,sedan,175,1.6,Petrol,yes,2007
BMW,45500.0,crossover,76,4.4,Petrol,yes,2010
BMW,4900.0,sedan,295,2.0,Petrol,yes,1994
BMW,47000.0,other,5,2.0,Petrol,yes,2014
Toyota,19200.0,crossover,190,2.7,Gas,yes,2005
Mitsubishi,11100.0,crossover,119,2.4,Gas,yes,2008
Mitsubishi,8200.0,sedan,139,1.5,Other,yes,2012
Volkswagen,10300.0,sedan,235,2.0,Petrol,yes,2007
Renault,11990.0,van,210,1.1,Diesel,yes,2010
BMW,46800.0,sedan,33,2.0,Diesel,yes,2014
Volkswagen,1500.0,other,260,1.8,Gas,no,1994
BMW,6350.0,crossover,156,4.4,Gas,no,2002
Mercedes-Benz,8900.0,hatch,155,1.5,Petrol,yes,2005
Mercedes-Benz,12700.0,van,160,3.0,Diesel,yes,2007
Mitsubishi,8000.0,sedan,207,1.6,Gas,yes,2007
Toyota,29500.0,crossover,63,4.0,Petrol,yes,2008
Renault,7100.0,van,208,1.5,Diesel,yes,2008
Renault,10850.0,crossover,103,2.5,Gas,yes,2010
Volkswagen,27000.0,sedan,57,2.0,Diesel,yes,2013
Volkswagen,18100.0,other,64,2.0,Petrol,yes,2011
BMW,27000.0,sedan,137,5.0,Other,yes,2005
BMW,8990.0,other,300,2.2,Petrol,yes,2002
Toyota,32900.0,crossover,82,2.7,Petrol,yes,2013
BMW,25500.0,other,163,4.8,Petrol,yes,2008
Toyota,8900.0,crossover,153,2.0,Petrol,yes,2003
Audi,11950.0,sedan,190,3.0,Petrol,yes,2006
Mercedes-Benz,22700.0,sedan,125,2.2,Diesel,yes,2010
BMW,13000.0,sedan,165,2.2,Gas,yes,2003
Audi,25000.0,other,60,2.0,Petrol,yes,2011
Toyota,26900.0,crossover,119,4.0,Gas,yes,2008
Mercedes-Benz,87777.0,van,0,2.2,Diesel,yes,2016
Volkswagen,6000.0,van,200,2.0,Diesel,yes,2008
Audi,9800.0,vagon,257,2.5,Diesel,yes,2003
Audi,13900.0,other,197,2.0,Diesel,yes,2006
Renault,12200.0,van,164,2.5,Diesel,yes,2009
Mercedes-Benz,13500.0,crossover,205,2.7,Diesel,yes,2005
BMW,18100.0,crossover,200,4.8,Petrol,yes,2005
BMW,33000.0,crossover,200,3.0,Diesel,yes,2010
Volkswagen,16900.0,crossover,145,1.4,Petrol,yes,2011
Mercedes-Benz,22000.0,sedan,110,1.8,Petrol,yes,2011
Volkswagen,10700.0,sedan,195,3.2,Petrol,yes,2007
Mercedes-Benz,7800.0,sedan,226,2.2,Diesel,yes,2000
Mercedes-Benz,17300.0,sedan,184,1.8,Gas,yes,2008
BMW,70000.0,sedan,16,3.0,Diesel,yes,2014
Volkswagen,2200.0,hatch,118,1.4,Petrol,no,2001
BMW,8900.0,sedan,256,2.2,Petrol,yes,2002
Mercedes-Benz,31600.0,sedan,33,1.6,Petrol,yes,2013
Volkswagen,7900.0,other,168,1.9,Diesel,yes,2006
Toyota,28500.0,crossover,97,3.5,Petrol,yes,2012
Renault,6900.0,van,140,1.5,Diesel,yes,2012
BMW,8850.0,vagon,280,2.5,Diesel,yes,2000
Renault,3100.0,van,164,1.4,Petrol,yes,1999
BMW,8900.0,sedan,250,2.5,Petrol,yes,2000
Renault,6100.0,sedan,130,1.4,Petrol,yes,2005
BMW,1400.0,sedan,260,1.8,Petrol,no,1996
Volkswagen,8800.0,van,93,1.6,Diesel,yes,2012
Renault,10299.0,other,176,2.0,Diesel,yes,2013
Renault,6500.0,sedan,170,1.6,Petrol,yes,2004
Toyota,9100.0,sedan,151,1.6,Gas,yes,2007
Volkswagen,9950.0,hatch,95,1.4,Petrol,yes,2010
Toyota,24500.0,crossover,260,4.7,Gas,yes,2003
Audi,51500.0,crossover,27,3.0,Diesel,yes,2013
Volkswagen,12900.0,van,290,1.9,Diesel,yes,2008
Mercedes-Benz,8000.0,van,250,2.2,Diesel,yes,2006
Mitsubishi,8100.0,sedan,112,2.4,Petrol,yes,2007
Renault,10100.0,van,164,2.0,Diesel,yes,2012
BMW,1900.0,sedan,300,2.5,Diesel,no,1997
Renault,10800.0,van,187,2.0,Diesel,yes,2012
Audi,8000.0,sedan,234,4.2,Gas,no,2004
Mercedes-Benz,15300.0,other,120,2.6,Petrol,yes,2004
Volkswagen,2350.0,hatch,182,1.9,Diesel,no,1998
BMW,38888.0,vagon,5,0.65,Other,yes,2015
Toyota,99999.0,crossover,0,4.5,Diesel,yes,2016
Volkswagen,17650.0,sedan,110,1.8,Petrol,yes,2012
Volkswagen,12999.0,van,237,2.5,Diesel,yes,2005
Mercedes-Benz,18500.0,other,90,1.8,Petrol,yes,2008
Volkswagen,9200.0,sedan,195,2.0,Petrol,yes,2006
Volkswagen,14500.0,sedan,1,1.6,Other,yes,2016
Volkswagen,18000.0,vagon,18,1.6,Diesel,yes,2011
Mercedes-Benz,6800.0,van,250,1.7,Diesel,yes,2003
BMW,20500.0,crossover,73,2.0,Petrol,yes,2011
BMW,28000.0,other,100,5.0,Petrol,yes,2005
Volkswagen,10650.0,van,130,2.0,Diesel,yes,2011
Volkswagen,20300.0,other,30,1.4,Petrol,yes,2013
Volkswagen,3000.0,vagon,267,1.9,Diesel,no,1999
Toyota,25250.0,crossover,112,4.5,Gas,yes,2007
Mitsubishi,1389.0,hatch,245,1.3,Petrol,no,1996
Mercedes-Benz,17600.0,sedan,174,4.0,Diesel,yes,2005
Mercedes-Benz,14200.0,van,180,2.2,Diesel,yes,2007
BMW,13700.0,crossover,270,4.6,Gas,yes,2004
Mercedes-Benz,23900.0,sedan,187,5.5,Petrol,yes,2007
Volkswagen,32000.0,sedan,144,3.6,Petrol,yes,2013
BMW,4599.0,sedan,267,2.0,Gas,yes,1991
Volkswagen,2350.0,sedan,300,1.9,Diesel,no,1998
Audi,19999.0,vagon,160,2.0,Petrol,yes,2010
BMW,28900.0,sedan,78,2.0,Petrol,yes,2012
Volkswagen,3800.0,sedan,300,2.8,Gas,yes,1996
Volkswagen,1800.0,other,300,1.3,Petrol,yes,1989
Volkswagen,9700.0,sedan,201,2.0,Petrol,yes,2007
Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016
Volkswagen,24900.0,sedan,1,1.6,Diesel,yes,2016
Renault,4999.0,sedan,140,1.4,Petrol,yes,2011
BMW,4700.0,sedan,390,2.5,Petrol,yes,1991
Mercedes-Benz,4999.0,sedan,1,2.8,Petrol,yes,1997
Mercedes-Benz,9299.0,sedan,350,2.7,Diesel,yes,2000
Mercedes-Benz,25000.0,sedan,130,5.5,Petrol,yes,2007
Mitsubishi,12900.0,crossover,148,3.0,Gas,yes,2008
Audi,9700.0,vagon,189,2.5,Diesel,yes,2003
Renault,10100.0,van,64,2.0,Diesel,yes,2014
